,#1,#2,#3,#4,#5,#6,#7,#8
0,Cooperative Educ- A A E,ALS,108,1,061,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
1,Intro to Agr & Applied Econ,ALS,108,215,001,123,3.27,"[35.8, 13.0, 32.5, 11.4, 3.3, 3.3, None, None, None, None, None, None, 0.8, None, None]"
2,Climate Change Econ & Policy,ALS,108,246,001,29,3.232,"[20.7, 27.6, 31.0, 10.3, 6.9, None, None, None, None, None, None, None, None, None, 3.4]"
3,Independent Study,ALS,108,299,073,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
4,The Real Estate Process,ALS,108,306,001,27,2.885,"[18.5, 11.1, 18.5, 25.9, 22.2, None, None, 3.7, None, None, None, None, None, None, None]"
5,The Internatl Ag Economy,ALS,108,319,001,25,2.9,"[28.0, 16.0, 16.0, 12.0, 16.0, 12.0, None, None, None, None, None, None, None, None, None]"
6,Farming Systems Management,ALS,108,320,001,76,3.349,"[28.9, 39.5, 13.2, 9.2, 9.2, None, None, None, None, None, None, None, None, None, None]"
7,Cooperatives,ALS,108,323,001,14,3.679,"[42.9, 50.0, 7.1, None, None, None, None, None, None, None, None, None, None, None, None]"
8,Issues in Food Systems,ALS,108,340,001,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
9,Environmental Economics,ALS,108,343,001,32,3.214,"[37.5, 25.0, 21.9, 6.3, None, 3.1, 6.3, None, None, None, None, None, None, None, None]"
10,Growth&Develpmt Global Econ,ALS,108,374,001,25,3.16,"[28.0, 20.0, 36.0, 4.0, 4.0, 8.0, None, None, None, None, None, None, None, None, None]"
11,Special Topics,ALS,108,375,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
12,Special Topics,ALS,108,399,061,7,3.891,"[85.7, 14.3, None, None, None, None, None, None, None, None, None, None, None, None, None]"
13,Special Topics,ALS,108,399,083,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
14,Special Topics,ALS,108,399,085,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
15,Special Topics,ALS,108,399,086,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
16,Special Topics,ALS,108,399,093,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
17,Special Topics,ALS,108,399,097,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
18,Special Topics,ALS,108,399,098,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
