Intro to Agr & Applied Econ,ALS,108,215,1,82,2.963,"[9.8, 29.3, 28.0, 17.1, 13.4, 1.2, 1.2, None, None, None, None, None, None, None, None]"
Climate Change Econ & Policy,ALS,108,246,1,88,3.08,"[28.4, 11.4, 36.4, 4.5, 15.9, 2.3, 1.1, None, None, None, None, None, None, None, None]"
Independent Study,ALS,108,299,97,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
The Real Estate Process,ALS,108,306,1,19,2.816,"[5.3, 5.3, 63.2, None, 26.3, None, None, None, None, None, None, None, None, None, None]"
Farming Systems Management,ALS,108,320,1,60,2.983,"[36.7, 16.7, 13.3, 3.3, 16.7, 11.7, 1.7, None, None, None, None, None, None, None, None]"
Cooperatives,ALS,108,323,1,19,3.211,"[26.3, None, 68.4, None, 5.3, None, None, None, None, None, None, None, None, None, None]"
Issues in Food Systems,ALS,108,340,1,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Environmental Economics,ALS,108,343,1,30,2.93,"[13.3, 16.7, 40.0, 10.0, 10.0, 6.7, None, 3.3, None, None, None, None, None, None, None]"
Growth&Develpmt Global Econ,ALS,108,374,1,36,3.361,"[30.6, 36.1, 22.2, 8.3, None, None, 2.8, None, None, None, None, None, None, None, None]"
Special Topics,ALS,108,375,3,22,3.667,"[45.5, 22.7, 9.1, 4.5, None, None, None, 4.5, 4.5, None, None, None, 4.5, 4.5, None]"
Special Topics,ALS,108,399,85,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Special Topics,ALS,108,399,101,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Agricultural Finance,ALS,108,419,1,61,3.82,"[77.0, 16.4, 4.9, None, None, 1.6, None, None, None, None, None, None, None, None, None]"
Economic Decision Analysis,ALS,108,421,1,31,2.355,"[9.7, 6.5, 16.1, 32.3, 12.9, 19.4, 3.2, None, None, None, None, None, None, None, None]"
Agri & Econ Development-Africa,ALS,108,477,1,21,3.143,"[42.9, 23.8, 14.3, 4.8, None, 4.8, 9.5, None, None, None, None, None, None, None, None]"
Quant Mthds-Ag & Appl Econ,ALS,108,526,1,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Energy Markets,ALS,108,561,1,9,3.278,"[44.4, 11.1, 22.2, None, 22.2, None, None, None, None, None, None, None, None, None, None]"
Applied Microeconomic Thry,ALS,108,635,1,12,3.083,"[25.0, 33.3, 16.7, None, 16.7, 8.3, None, None, None, None, None, None, None, None, None]"
Applied Econometric Anal I,ALS,108,636,1,38,3.081,"[31.6, 18.4, 28.9, 2.6, None, 15.8, None, 2.6, None, None, None, None, None, None, None]"
Applied Econometric Anal I,ALS,108,699,80,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Applied Econometric Anal I,ALS,108,699,97,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Applied Risk Analysis,ALS,108,706,1,8,3.813,"[62.5, 37.5, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Applied Econometric Analysis 3,ALS,108,737,1,22,3.545,"[36.4, 36.4, 27.3, None, None, None, None, None, None, None, None, None, None, None, None]"
Microecon Resources & Energy,ALS,108,771,1,20,3.325,"[25.0, 25.0, 40.0, 10.0, None, None, None, None, None, None, None, None, None, None, None]"
Sem Res/Energy Demand Analysis,ALS,108,773,1,19,3.432,"[26.3, 36.8, 31.6, 5.3, None, None, None, None, None, None, None, None, None, None, None]"
Survey & Sample Design,ALS,108,777,1,20,3.5,"[45.0, 25.0, 15.0, 15.0, None, None, None, None, None, None, None, None, None, None, None]"
Pract:Ag&Appl Econ Teaching,ALS,108,799,89,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Pract:Ag&Appl Econ Teaching,ALS,108,881,1,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Pract:Ag&Appl Econ Teaching,ALS,108,881,2,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,73,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,80,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,82,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,85,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,88,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,90,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,92,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,93,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,95,6,,"[None, None, None, None, None, None, None, 100.0, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,96,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,97,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,98,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Spec Work-Ag & Appl Economics,ALS,108,999,59,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
BIOLOGICAL SYSTEMS ENGINE,ALS,112,1,5,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
BIOLOGICAL SYSTEMS ENGINE,ALS,112,1,10,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
